False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.23529411764705882,1.0
0.0,0.4117647058823529,0.99999976
0.0625,0.4117647058823529,0.99999654
0.0625,0.5882352941176471,0.99986446
0.125,0.5882352941176471,0.99871755
0.125,0.8823529411764706,0.99077785
0.25,0.8823529411764706,0.98436373
0.25,0.9411764705882353,0.9356146
0.375,0.9411764705882353,0.86655223
0.375,1.0,0.72526175
1.0,1.0,2.5041485e-05
