False Positive Rate,True Positive Rate,Thresholds
0.0,0.0,inf
0.0,0.0625,0.99986744
0.0,0.9375,0.2689165
0.11764705882352941,0.9375,0.12526564
0.11764705882352941,1.0,0.115753375
1.0,1.0,0.0010618394
