False Positive Rate,True Positive Rate,Class
0.0,0.0,0
0.0,0.05,0
0.0,0.15,0
0.0,0.25,0
0.0,0.4,0
0.03225806451612903,0.4,0
0.03225806451612903,0.5,0
0.06451612903225806,0.55,0
0.06451612903225806,0.65,0
0.06451612903225806,0.75,0
0.12903225806451613,0.75,0
0.12903225806451613,0.85,0
0.2903225806451613,0.85,0
0.2903225806451613,0.9,0
0.3548387096774194,0.9,0
0.3548387096774194,0.95,0
0.41935483870967744,0.95,0
0.4838709677419355,0.95,0
0.5161290322580645,0.95,0
0.6451612903225806,0.95,0
0.6774193548387096,0.95,0
0.6774193548387096,1.0,0
1.0,1.0,0
0.0,0.0,1
0.0,0.125,1
0.0,1.0,1
0.046511627906976744,1.0,1
0.09302325581395349,1.0,1
0.16279069767441862,1.0,1
0.20930232558139536,1.0,1
0.37209302325581395,1.0,1
0.4186046511627907,1.0,1
0.6046511627906976,1.0,1
0.6511627906976745,1.0,1
0.7674418604651163,1.0,1
0.813953488372093,1.0,1
0.8372093023255814,1.0,1
0.8837209302325582,1.0,1
1.0,1.0,1
0.0,0.0,2
0.0,0.043478260869565216,2
0.0,0.08695652173913043,2
0.03571428571428571,0.08695652173913043,2
0.03571428571428571,0.13043478260869565,2
0.03571428571428571,0.21739130434782608,2
0.03571428571428571,0.30434782608695654,2
0.07142857142857142,0.30434782608695654,2
0.07142857142857142,0.4782608695652174,2
0.07142857142857142,0.6521739130434783,2
0.10714285714285714,0.6521739130434783,2
0.10714285714285714,0.8260869565217391,2
0.14285714285714285,0.8260869565217391,2
0.14285714285714285,0.9130434782608695,2
0.21428571428571427,0.9130434782608695,2
0.2857142857142857,0.9130434782608695,2
0.32142857142857145,0.9565217391304348,2
0.35714285714285715,0.9565217391304348,2
0.35714285714285715,1.0,2
0.5,1.0,2
0.5714285714285714,1.0,2
1.0,1.0,2
