False Positive Rate,True Positive Rate,Class
0.0,0.0,0
0.0,0.11764705882352941,0
0.0,0.5294117647058824,0
0.030303030303030304,0.5294117647058824,0
0.030303030303030304,0.6470588235294118,0
0.18181818181818182,0.6470588235294118,0
0.18181818181818182,0.8823529411764706,0
0.2727272727272727,0.8823529411764706,0
0.30303030303030304,0.9411764705882353,0
0.3333333333333333,0.9411764705882353,0
0.3333333333333333,1.0,0
1.0,1.0,0
0.0,0.0,1
0.0,0.2,1
0.0,0.4,1
0.022222222222222223,0.6,1
0.022222222222222223,1.0,1
0.9555555555555556,1.0,1
1.0,1.0,1
0.0,0.0,2
0.0,0.03571428571428571,2
0.0,0.14285714285714285,2
0.0,0.21428571428571427,2
0.0,0.7857142857142857,2
0.045454545454545456,0.7857142857142857,2
0.045454545454545456,0.9285714285714286,2
0.09090909090909091,0.9285714285714286,2
0.09090909090909091,0.9642857142857143,2
0.22727272727272727,0.9642857142857143,2
0.22727272727272727,1.0,2
0.5,1.0,2
0.5909090909090909,1.0,2
0.8636363636363636,1.0,2
0.9545454545454546,1.0,2
1.0,1.0,2
