False Positive Rate,True Positive Rate,Class
0.0,0.0,0
0.0,0.0625,0
0.0,0.3125,0
0.02857142857142857,0.3125,0
0.02857142857142857,0.625,0
0.08571428571428572,0.625,0
0.08571428571428572,0.6875,0
0.11428571428571428,0.6875,0
0.11428571428571428,0.75,0
0.22857142857142856,0.75,0
0.22857142857142856,0.8125,0
0.2571428571428571,0.875,0
0.2571428571428571,0.9375,0
0.2857142857142857,0.9375,0
0.2857142857142857,1.0,0
0.4857142857142857,1.0,0
0.5428571428571428,1.0,0
0.6571428571428571,1.0,0
0.7142857142857143,1.0,0
0.8857142857142857,1.0,0
0.9428571428571428,1.0,0
1.0,1.0,0
0.0,0.0,1
0.0,0.08333333333333333,1
0.0,0.25,1
0.0,0.3333333333333333,1
0.0,0.5,1
0.0,0.9166666666666666,1
0.02564102564102564,0.9166666666666666,1
0.02564102564102564,1.0,1
0.6153846153846154,1.0,1
0.6666666666666666,1.0,1
0.8974358974358975,1.0,1
0.9487179487179487,1.0,1
1.0,1.0,1
0.0,0.0,2
0.0,0.043478260869565216,2
0.0,0.13043478260869565,2
0.0,0.21739130434782608,2
0.0,0.2608695652173913,2
0.0,0.34782608695652173,2
0.0,0.6956521739130435,2
0.07142857142857142,0.6956521739130435,2
0.10714285714285714,0.7391304347826086,2
0.10714285714285714,0.782608695652174,2
0.14285714285714285,0.782608695652174,2
0.14285714285714285,0.9130434782608695,2
0.17857142857142858,0.9130434782608695,2
0.17857142857142858,0.9565217391304348,2
0.32142857142857145,0.9565217391304348,2
0.32142857142857145,1.0,2
0.75,1.0,2
0.8928571428571429,1.0,2
1.0,1.0,2
