False Positive Rate,True Positive Rate,Class
0.0,0.0,0
0.0,0.15789473684210525,0
0.0,0.6842105263157895,0
0.03125,0.6842105263157895,0
0.03125,0.7368421052631579,0
0.0625,0.7368421052631579,0
0.0625,0.7894736842105263,0
0.125,0.7894736842105263,0
0.125,0.8421052631578947,0
0.1875,0.8421052631578947,0
0.1875,0.8947368421052632,0
0.375,0.8947368421052632,0
0.375,0.9473684210526315,0
0.46875,0.9473684210526315,0
0.46875,1.0,0
1.0,1.0,0
0.0,0.0,1
0.0,0.1,1
0.0,1.0,1
1.0,1.0,1
0.0,0.0,2
0.0,0.09090909090909091,2
0.0,0.2727272727272727,2
0.0,0.36363636363636365,2
0.034482758620689655,0.36363636363636365,2
0.034482758620689655,0.6363636363636364,2
0.06896551724137931,0.6363636363636364,2
0.06896551724137931,0.8636363636363636,2
0.1724137931034483,0.8636363636363636,2
0.1724137931034483,0.9090909090909091,2
0.2413793103448276,0.9090909090909091,2
0.2413793103448276,0.9545454545454546,2
0.3448275862068966,0.9545454545454546,2
0.3448275862068966,1.0,2
1.0,1.0,2
